"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00006466,,"Melbourne University Family Club Co-op Ltd",,"427 CARDIGAN ST",CARLTON,VIC,3053,01/01/2012,
PR-00006468,,"WINDERMERE CHILD & FAMILY SERVICES INC",,"48 Webb Street","NARRE WARREN",VIC,3805,01/01/2012,
PR-00006473,,"Doveton College School Council","Doveton College Early Learning Centre","Doveton College, 62 Tristania St",DOVETON,VIC,3177,22/03/2012,
PR-00006475,,"Glen Education Inc","Glen Education","2 North Drive","BENTLEIGH EAST",VIC,3165,03/02/2012,
PR-00006476,,"Rosebud West Community Hub Limited",,"11a Allambi Ave","ROSEBUD WEST",VIC,3940,31/01/2012,
PR-00006479,,"Beechworth Primary School Council",,"PO Box 203",BEECHWORTH,VIC,3747,27/01/2012,
PR-00006487,,"Greta Valley Primary School Council","Greta Valley Primary School","2376 Wangaratta-Kilfeera Rd","GRETA SOUTH",VIC,3675,16/04/2012,
PR-00006489,,"Laurimar Primary School Council","Laurimar Primary School","Armidale Road",DOREEN,VIC,3754,24/02/2012,
PR-00006491,,"Hope Patterson Lakes Pty Ltd","Hope Patterson Lakes Pty Ltd","3/39 Brunel Road",SEAFORD,VIC,3198,03/02/2012,
PR-00006496,,"S & S COLEMAN PTY. LTD. ATF S & S Coleman Family Trust","Community OSHC Services","Vine Street","MOONEE PONDS",VIC,3039,29/02/2012,
PR-00006531,,"Kid's Learning Family Day Care",,"62/12 Holland Court",FLEMINGTON,VIC,3031,01/01/2012,
PR-00006534,,"Rumia Ramadan Abbas",,"6/11 East Esplanade Street","ST ALBANS",VIC,3021,01/01/2012,
PR-00006535,,"Children's First Choice Family Day Care Pty Ltd",,"16/8-14 motoo drive",COOLAROO,VIC,3048,01/01/2012,
PR-00006537,,"Mirza Group Pty Ltd",,"Suite 2 Level 1, 67 Sydney Rd",COBURG,VIC,3058,01/01/2012,
PR-00006540,,"Gateways Support Services Inc",,"10-12 Albert Street","GEELONG WEST",VIC,3218,01/01/2012,
PR-00006542,,"Cornish College",,"65 Riverend Road",BANGHOLME,VIC,3175,01/01/2012,
PR-00006544,,"EMO Properties Pty Ltd",,"76 River St","SOUTH YARRA",VIC,3141,01/01/2012,
PR-00006545,,"First Early Learning PTY LTD ATF First Early Learning Trust",,"124 Frankston-Flinders Rd","FRANKSTON SOUTH",VIC,3199,01/01/2012,
PR-00006546,,"Nissrohi Pty Ltd ATF Vincent & Mei Business Trust",,"988-990 High Street Rd","GLEN WAVERLEY",VIC,3150,01/01/2012,
PR-00006547,,"Wallaby Childcare Greensborough PTY LTD ATF Wallaby Childcare Greensborough Trust",,"115 Beach Rd",SANDRINGHAM,VIC,3191,01/01/2012,
PR-00006548,,"Community Kinders Plus Inc.",,"PO Box 11063",FRANKSTON,VIC,3199,01/01/2012,
PR-00006557,,"The Camp Australia Foundation Ltd",,"1  207 Waverley Rd","MALVERN EAST",VIC,3145,12/12/2011,
PR-40033994,,"ASPIRE EARLY EDUCATION & KINDERGARTEN KALKALLO PTY LTD","ASPIRE EARLY EDUCATION & KINDERGARTEN KALKALLO","level 16, 627 Chapel St","SOUTH YARRA",VIC,3141,26/06/2023,
PR-40034005,,"ST MARKS CCC PTY LTD",,"100 Queen St",BENDIGO,VIC,3550,19/10/2023,
PR-40034024,,"Bo Zheng",,"1 McDowall St",MITCHAM,VIC,3132,20/01/2024,"The person(s) with management or control of the approved provider, Bo Zheng, must undertake professional development in Quality Area 7 - Governance and Leadership prior to applying for service approval or transfer.

• The professional development must be delivered by a recognised early childhood organisation or expert, and approved in writing by the Department prior to undertaking the professional development.
• The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-40034080,,"CHILD'S PLAY FDC SERVICE PTY LTD ATF MAB FAMILY TRUST","CHILD'S PLAY FDC SERVICE","1 Arvinda Ave",TARNEIT,VIC,3029,16/01/2024,
PR-40034128,,"NICKATI PTY LTD ATF The NICKATI Unit Trust","NICKATI PTY LTD ATF The NICKATI Unit Trust","126 Ridge Rd",WHITTLESEA,VIC,3757,08/04/2024,
PR-40034191,,"669 521 402 PTY LTD",,"Suite 263/101 Moray Street","South Melbourne",VIC,3205,21/09/2023,
PR-40034312,,"Thrive On The Rock Education Pty Ltd","Thrive On The Rock FDC","27, KENMORE CLOSE",MELBOURNE,VIC,3029,11/06/2024,
PR-40034315,,"WOODLANDS TARNEIT PTY LTD","Woodlands Tarneit","Level 14, 41 Exhibition Street",MELBOURNE,VIC,3000,04/09/2023,
