ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40018985,PR-40022614,"Montessori Beginnings Greenvale","MONTESSORI BEGINNINGS GREENVALE PTY LTD","Centre-Based Care","985c Mickleham Rd",GREENVALE,VIC,3059,0370187533,,,100,02/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2025","Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Dec 2022",,"September 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019009,PR-40002234,"TeamKids - Woodlands Primary","TEAM HOLIDAY PTY LTD","Centre-Based Care","Woodlands Primary, 10 Gum Nut Dr",LANGWARRIN,VIC,3910,1300035000,,"•	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",160,01/08/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2023",,"March 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,15:30,18:30,15:30,18:30,15:30,18:30,15:30,18:30,15:30,18:30,,,,,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,No
SE-40019033,PR-40000627,"Little Stars Early Education Centre","AYAD & SONS PTY LTD ATF The Trustee for AYAD FAMILY TRUST","Centre-Based Care","171 Military Rd","AVONDALE HEIGHTS",VIC,3034,0399135551,,,75,25/08/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2023",,,,,,,,,,06/02/2023,"October 2025",Yes,No,Yes,Yes,Yes,Yes,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,No
SE-40019066,PR-00009832,"Kool Kidz Melton South","LLEWIE MELTON SOUTH PTY LTD","Centre-Based Care","S 1  201 Exford Rd","WEIR VIEWS",VIC,3338,"03 8001 9585",,,130,02/09/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2024",,,,,,,,,,04/10/2024,"January 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019067,PR-40012078,"Shine Bright Shamrock Park Kindergarten","SHINE BRIGHT EYM","Centre-Based Care","St Mary's Primary, 2 Murlong St","SWAN HILL",VIC,3585,0340162008,,,33,25/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jun 2024",,,,,,,,,,,"March 2025",No,No,Yes,No,No,No,No,,,08:30,16:00,09:00,12:00,08:30,16:00,,,,,,,,,08:30,16:00,,,08:30,16:00,,,,,,,,,,,08:30,16:00,,,08:30,16:00,,,,,,,,,,,,,,,,,,,No
SE-40019127,PR-00009679,"Oz Education Dallas","OZ EDUCATION DALLAS PTY LTD","Centre-Based Care","1-5 Eltham St",DALLAS,VIC,3047,0393024897,,,73,23/11/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2025","Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Dec 2022",10/04/2025,"May 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019178,PR-40012798,"Little Heaven FDCS","CHEEKY CLOUDS PTY LTD","Family Day Care","29 Radnor Dr","DEER PARK",VIC,3023,0472563315,,"The maximum number of family day care educators that may be engaged or registered by the approved provider is 60. •  	The approved provider of a family day care education and care service must ensure that: 
•	Family day care educators engaged by or registered with the service and approved family day care venues, that are located in an area or district of bushfire or at risk of grassfire, close and do not operate on any day declared by the Victorian Emergency Management Commissioner to be a day of ‘Catastrophic’ Fire Danger Rating that applies to the area or district at which the family day care educator’s residence or family day care venue is located.
•	The family day care service’s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the services’ and family day care educators’ bushfire and grassfire related risks.
•	The family day care service’s Emergency Management Plan reflects the operating context of the family day care service and its family day care educators, is kept up to date, reviewed at least once each calendar year; and includes:
o	 a list of the service’s emergency contact details
o	procedures for monitoring and managing bushfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service or family day care educators’ service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	The Emergency Management Plan is made available to the Regulatory Authority on request.",,28/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2024",,,,,,,,,,,"May 2026",No,No,No,No,No,No,No,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,,,,,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,,,,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,,,,,No
SE-40019199,PR-40027417,"Little Stars Hallam","Little Stars Cranbourne Pty Ltd ATF Little Stars Cranbourne Trust","Centre-Based Care","208 Princes Hwy",HALLAM,VIC,3803,"03 8644 5200",,,115,03/11/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2023",,,,,,,,,,22/12/2025,"February 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019202,PR-40027924,"Discovery Bay Early Learning and Kindergarten - Balwyn","DISCOVERY BAY GROUP PTY LTD","Centre-Based Care","321 Whitehorse Rd",BALWYN,VIC,3103,0352221888,,,92,04/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2023",,,,,,,,,,20/01/2023,"January 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019248,PR-40022122,"Generations Early Learning","Rural Care Australia Ltd","Centre-Based Care","Chaffey Aged Care, 3-15 Third St",MERBEIN,VIC,3505,0350253796,0350252982,,72,12/11/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Aug 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,"July 2025",Yes,No,Yes,No,No,No,Yes,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019269,PR-00001307,"Ganbu Gulinj Kindergarten","Children's Protection Society Inc","Centre-Based Care","55 Macedon Parade",WOLLERT,VIC,3750,0394077200,,,99,10/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"May 2026",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,,,,,08:45,16:15,08:45,16:15,08:45,16:15,08:45,16:15,08:45,16:15,,,,,,,,,,,,,,,,,,,No
SE-40019287,PR-40028718,"Journey Early Learning Centre - Ocean Grove","Journey ELC Pty Ltd","Centre-Based Care","33-37 Coastal Bvd","OCEAN GROVE",VIC,3226,"03 8746 6999",,,120,20/10/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2026","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Mar 2025",01/07/2022,"December 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019292,PR-40004402,"Gladstone Park OSHClub","OSHCLUB PTY LTD","Centre-Based Care","15-25 South Circular Rd","GLADSTONE PARK",VIC,3043,0428116045,,,45,24/09/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,"February 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,,,,,,,,,,,,,,,,,,,No
SE-40019303,PR-40016161,"Amiga Montessori Burwood","AMIGA MONTESSORI HOLDINGS PTY. LTD.","Centre-Based Care","1 Sparks Ave",BURWOOD,VIC,3125,0370363389,,,73,04/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2023",,,,,,,,,,,"April 2025",Yes,No,No,No,No,No,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019320,PR-40017601,"Montessori Beginnings Malvern","Spring Kids Pty Ltd","Centre-Based Care","14 Spring Rd",MALVERN,VIC,3144,0398802033,,"The approved provider must ensure that at all times children are being educated and cared for, that one additional educator above the minimum prescribed in regulation 123(1) of the Education and Care Services National Regulations 2011 is required to be educating and caring for children to ensure adequate supervision of children accessing the outdoor area.",58,05/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023",,,,,,,,,,,"June 2025",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019329,PR-40023418,"Aspire Early Education Cobblebank","COBBLEBANK EARLY LEARNING CENTRE PTY LTD","Centre-Based Care","1 Carne St",COBBLEBANK,VIC,3338,1800978429,,"An approved provider of an education and care service that is listed on the Department of Education & Training Category 4 List – at some risk of bushfire or grassfire must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",134,15/10/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2023",,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019342,PR-40012078,"Shine Bright Maiden Gully Early Years Hub","SHINE BRIGHT EYM","Centre-Based Care","9 Westbury Bvd","MAIDEN GULLY",VIC,3551,0344161099,,"•	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",152,29/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023",,,,,,,,,,,"February 2026",Yes,No,Yes,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,No
SE-40019362,PR-40001799,"Leading Leaps Early Learning","LEADING LEAPS PTY LTD","Centre-Based Care","70, Wootten Road",TARNEIT,VIC,3029,"03 87317768",,,100,31/05/2022,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2025",,,,,,,,,,,"April 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40019368,PR-00008959,"Kinderlea Preschool","KINDERLEA 3 YEAR OLD PRESCHOOL INC.","Centre-Based Care","Kinderlea 3 Year Old Preschool, 3 Coleman Rd","WANTIRNA SOUTH",VIC,3152,0468424677,,,23,21/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2023",,,,,,,,,,,"December 2025",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019380,PR-00001657,"Maroondah Education and Care","Maroondah City Council","Centre-Based Care","7 Civic Square",CROYDON,VIC,3136,0392984673,,,38,21/01/2021,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Apr 2023",,,,,,,,,,,"December 2025",Yes,No,No,Yes,Yes,Yes,No,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019383,PR-40022897,"Imagine Childcare and Kindergarten Cranbourne","4th Edge Pty Ltd ATF 4th Edge Unit Trust","Centre-Based Care","50 Banyan Drive","CRANBOURNE WEST",VIC,3977,0397766518,,"The Approved Provider is required to ensure objects are not placed in a manner that may allow a child to climb over barriers or fences; and, all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685:2014) with particular consideration given to falling space, impact areas and free space. The approved provider must provide evidence to the Southern Metropolitan Regional Team demonstrating that they engaged an appropriate expert to observe and prepare a report at each evacuation rehearsal.
",124,09/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2023",,,,,,,,,,,"October 2024",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019402,PR-40026948,"Nido Early School Ocean Grove","NEST EARLY EDUCATION SERVICES PTY LTD","Centre-Based Care","1-3 Goodwell Dr","OCEAN GROVE",VIC,3226,0370199265,,,102,20/10/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jul 2025","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Oct 2022",29/04/2022,"June 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019404,PR-40009049,"Eden Academy Elwood","Eden Academy Childcare Pty Ltd","Centre-Based Care","147-149 Brighton Rd",ELWOOD,VIC,3184,0370202316,,"An additional educator above the prescribed educator-to-child ratios is required at all times when transporting children between levels. The Approved Provider is required to ensure objects are not placed in a manner that may allow a child to climb over barriers or fences; and, all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685:2014) with particular consideration given to falling space, impact areas and free space. The Approved Provider must engage an appropriate expert such as fire safety advisor or fire safety engineer to observe and prepare a report on the service's emergency and evacuation procedure rehearsal. This must occur at the first rehearsal of the emergency and evacuation procedure. 
o	The report prepared must identify:
	the service;
	the date and time of the rehearsal;
	the total time taken to evacuate the building;
	the location to which building occupants were evacuated to;
	the number of children and educators in attendance on the day;
	the profile of children (ages, any disabilities) with respect to the children's rooms operating at the time of the rehearsal; and
	any proposed actions the service must take to improve evacuation procedures to ensure the safety of all children attending the service.
o	The approved provider must submit a copy of any report produced in relation this condition to the Regional Office of the Regulatory Authority in which the service is located within seven (7) days of receipt.",100,20/04/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2023",,,,,,,,,,26/05/2025,"August 2024",Yes,No,No,No,No,No,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40019442,PR-00002614,"The Hive ELC Ashburton","Al-ishraaq Pty Ltd ATF Ahsan's Family Trust","Centre-Based Care","470 Warrigal Rd",ASHBURTON,VIC,3147,"1300 000 843",,"The approved provider is required to ensure objects are not placed in a manner that may allow a child to climb over barriers or fences; and, all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685) with particular consideration given to falling space, impact areas and free space. The approved provider must ensure that they incorporate and maintain natural elements and features within outdoor spaces.",99,24/05/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023",,,,,,,,,,,"November 2025",Yes,No,Yes,Yes,Yes,Yes,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,No
SE-40026859,PR-40028718,"Journey Early Learning Centre - Bacchus Marsh","Journey ELC Pty Ltd","Centre-Based Care","3A Graham Street","BACCHUS MARSH",VIC,3340,0387466916,,,122,03/10/2023,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2025",,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
